1767200401585, early-up-b40-s60, expiry, EXPIRED, 1767200401585, 0, -1, -1, -1, 0, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
1767200401586, early-up-b40-s60, test-ov677b2v6ra, SOLD, 1767196828490, 5, 0.4, -1, 2, -2, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
1767200401587, early-up-b40-s60, test-6kqqvqq644i, SOLD, 1767197154654, 5, -1, 0.6, 3, 3, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, SELL
1767200410419, contrarian-1h-b50-s99, expiry, EXPIRED, 1767200410419, 5, -1, -1, -1, 0, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
1767200410420, contrarian-1h-b50-s99, test-ovjzxbhsuh, SOLD, 1767196828944, 5, 0.5, -1, 2.5, -2.5, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
1767200410942, contrarian-3h-b50-s99, expiry, EXPIRED, 1767200410942, 5, -1, -1, -1, 0, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
1767200410943, contrarian-3h-b50-s99, test-llmyi0mxbc8, SOLD, 1767196820999, 5, 0.5, -1, 2.5, -2.5, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
1767200411387, contrarian-2h-b50-s74, expiry, EXPIRED, 1767200411387, 5, -1, -1, -1, 0, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
1767200411388, contrarian-2h-b50-s74, test-y4fiflqevh, SOLD, 1767196827977, 5, 0.5, -1, 2.5, -2.5, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
1767200413127, contrarian-1h-b50-s74, expiry, EXPIRED, 1767200413126, 5, -1, -1, -1, 0, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
1767200413128, contrarian-1h-b50-s74, test-925cg3g52t6, SOLD, 1767196820934, 5, 0.5, -1, 2.5, -2.5, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
1767200425376, early-down-b40-s60, undefined, EXPIRED, 1767200425376, 0, -1, -1, -1, 0, TEST, 49105322957194293327239527532072028783200944422995038358093970590771603360526, BUY
1767200425377, early-down-b40-s60, test-rbwl7nvldye, SOLD, 1767196826806, 5, 0.4, -1, 2, -2, TEST, 49105322957194293327239527532072028783200944422995038358093970590771603360526, BUY
1767200425378, early-down-b40-s60, test-mjwalhbpku, SOLD, 1767197799302, 5, -1, 0.6, 3, 3, TEST, 49105322957194293327239527532072028783200944422995038358093970590771603360526, SELL
1767200429101, contrarian-2h-b50-s99, expiry, EXPIRED, 1767200429101, 5, -1, -1, -1, 0, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
1767200429102, contrarian-2h-b50-s99, test-btze69mdo24, SOLD, 1767196812775, 5, 0.5, -1, 2.5, -2.5, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
1767200429624, contrarian-3h-b50-s74, expiry, EXPIRED, 1767200429624, 5, -1, -1, -1, 0, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
1767200429625, contrarian-3h-b50-s74, test-6rj8s2xbwjm, SOLD, 1767196826170, 5, 0.5, -1, 2.5, -2.5, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
1767200431749, contrarian-5h-b50-s74, expiry, EXPIRED, 1767200431749, 5, -1, -1, -1, 0, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
1767200431750, contrarian-5h-b50-s74, test-urjuhq361fp, SOLD, 1767196830661, 5, 0.5, -1, 2.5, -2.5, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
1767200432149, contrarian-5h-b50-s99, expiry, EXPIRED, 1767200432149, 5, -1, -1, -1, 0, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
1767200432150, contrarian-5h-b50-s99, test-t7cmsehkzgi, SOLD, 1767196828017, 5, 0.5, -1, 2.5, -2.5, TEST, 77168603895681151387014388269537031708328642840498856876807234904259538768977, BUY
